,DATE,ID,STOCK,SECTOR,TYPE,SCORE,TIME,1MReturn,3MReturn,6MReturn,12MReturn
148,2004-06-23,MJCGG4-R,HSY,Consumer Non-Durables,MERGED,0.55663183,10:02:11.487,0.0019584816785232,0.012273753788331,0.1995010158937058,0.3798883037829988
149,2004-06-30,MJCGG4-R,HSY,Consumer Non-Durables,MERGED,0.44855033,10:02:12.127,0.0468979484984865,0.0141746260912367,0.2055959104782238,0.3635384834846838
150,2004-07-07,MJCGG4-R,HSY,Consumer Non-Durables,MERGED,0.44903345,10:02:12.880,0.0073813479992776,0.0229427493896171,0.1830556540814507,0.334905044448144
152,2004-02-11,FJ4YZS-R,CAA,Consumer Durables,MERGED,0.7738109,10:01:54.392,0.084216843541783,-0.0887293950724524,-0.0755540846954568,0.4568776696383796
153,2004-02-18,FJ4YZS-R,CAA,Consumer Durables,MERGED,0.7761986,10:01:55.714,0.1400322051574631,-0.0399087276993261,0.0082484975109142,0.5534618002930802
154,2004-02-25,FJ4YZS-R,CAA,Consumer Durables,MERGED,0.77717441,10:01:56.304,0.1361519764908945,0.0288848666885627,0.0155691385150156,0.6727253200129337
155,2004-03-03,FJ4YZS-R,CAA,Consumer Durables,MERGED,0.77445552,10:01:57.217,0.0404499847047328,-0.1100183771664392,-0.0743262600433019,0.4328177948725329
156,2004-03-10,FJ4YZS-R,CAA,Consumer Durables,MERGED,0.77661815,10:01:58.760,0.0032695022101107,-0.1276261041832724,-0.0600284654624659,0.3659490940816245
157,2004-03-17,FJ4YZS-R,CAA,Consumer Durables,MERGED,0.78029459,10:01:59.595,-0.0237163706279893,-0.1431359366590235,-0.0391937339075746,0.3111511601256749
158,2004-03-24,FJ4YZS-R,CAA,Consumer Durables,MERGED,0.78122242,10:02:00.090,-0.0335679712833698,-0.119577501669545,-0.0040346392532439,0.3357189227081317
159,2004-03-31,FJ4YZS-R,CAA,Consumer Durables,MERGED,0.64832423,10:02:00.822,-0.1594001136898919,-0.1769126288142581,-0.0573156800527977,0.2102334127371303
160,2004-04-07,FJ4YZS-R,CAA,Consumer Durables,MERGED,0.65077501,10:02:01.468,-0.1868075509154299,-0.1626822644721845,-0.1063996147394225,0.2247762586330925
161,2004-04-14,FJ4YZS-R,CAA,Consumer Durables,MERGED,0.65166669,10:02:02.717,-0.1051149239727608,-0.1315007004168858,-0.0574729668986437,0.2441407253870516
162,2004-04-21,FJ4YZS-R,CAA,Consumer Durables,MERGED,0.65345585,10:02:03.400,-0.1112479503704366,-0.1413751374903111,-0.0364063453642978,0.2790855633634427
163,2004-04-28,FJ4YZS-R,CAA,Consumer Durables,MERGED,0.65420379,10:02:04.382,-0.0400961447126211,-0.1098044961178978,0.0709487716961033,0.2864282409814587
164,2004-05-05,FJ4YZS-R,CAA,Consumer Durables,MERGED,0.65785802,10:02:05.087,-0.004485922773269,-0.0708527953766639,0.0845087781789479,0.4680525198176329
165,2004-05-12,FJ4YZS-R,CAA,Consumer Durables,MERGED,0.70613357,10:02:06.183,-0.0004318457635122,0.0069116367938836,0.2717232472194455,0.5857258308261702
166,2004-05-19,FJ4YZS-R,CAA,Consumer Durables,MERGED,0.69779562,10:02:07.096,0.0197032679336893,0.0569612903828776,0.2146670432874285,0.6556464302934341
167,2004-05-26,FJ4YZS-R,CAA,Consumer Durables,MERGED,0.70232116,10:02:08.387,-0.0229318647487307,0.0231792882308097,0.1670366026433159,0.6244520548204595
168,2004-06-02,FJ4YZS-R,CAA,Consumer Durables,MERGED,0.68989092,10:02:09.317,-0.0004007991547193,0.0169104620104561,0.1242694657613039,0.6718263574819863
169,2004-06-09,FJ4YZS-R,CAA,Consumer Durables,MERGED,0.68881734,10:02:10.130,-0.0445376362372775,0.0809728501596974,0.221627191709942,0.7222793214765434
